ts addr len cmd type n sx sy z1 z3 ta lx ly lz ti gx gy gz mx my mz Address Time
1367372553.65 65535 36 1 10 3 2050 2073 2859 2861 2156 33276 34428 30176 50562 5 -11 -38 0 0 0 152 18:42:33.646589
1367372553.77 65535 36 1 10 4 2049 2073 2859 2860 2156 33292 34428 30144 50561 5 -11 -38 0 0 0 152 18:42:33.768007
1367372553.86 65535 36 1 10 5 2049 2073 2859 2860 2155 33404 34560 30144 50562 6 -11 -37 0 0 0 152 18:42:33.859868
1367372553.86 65535 36 1 10 6 2050 2073 2859 2860 2154 33340 34428 30080 50562 6 -10 -37 0 0 0 152 18:42:33.860574
1367372553.86 65535 36 1 10 7 2050 2073 2859 2859 2155 33340 34428 30144 50560 6 -10 -37 0 0 0 152 18:42:33.861143
1367372553.86 65535 36 1 10 8 2050 2072 2859 2859 2155 33276 34304 30080 50559 6 -10 -37 0 0 0 152 18:42:33.861700
1367372553.86 65535 36 1 10 9 2050 2073 2859 2860 2155 33284 34304 29948 50561 6 -10 -37 0 0 0 152 18:42:33.862254
1367372553.86 65535 36 1 10 10 2050 2073 2859 2859 2154 33280 34304 29948 50562 6 -10 -37 0 0 0 152 18:42:33.862810
1367372553.86 65535 36 1 10 11 2050 2073 2859 2860 2155 33284 34316 30080 50561 7 -10 -37 0 0 0 152 18:42:33.863358
1367372553.86 65535 36 1 10 12 2050 2072 2859 2860 2155 33308 34560 30176 50560 6 -9 -37 0 0 0 152 18:42:33.863920
1367372553.86 65535 36 1 10 13 2051 2073 2859 2860 2155 33340 34428 30144 50558 6 -9 -37 0 0 0 152 18:42:33.864466
1367372553.86 65535 36 1 10 14 2051 2073 2859 2860 2155 33404 34428 30144 50558 6 -9 -37 0 0 0 152 18:42:33.865017
1367372553.87 65535 36 1 10 15 2051 2072 2858 2859 2155 33404 34428 30144 50559 6 -10 -37 0 0 0 152 18:42:33.865730
1367372553.87 65535 36 1 10 16 2051 2072 2859 2859 2155 33340 34428 30144 50558 6 -10 -37 0 0 0 152 18:42:33.866379
1367372553.87 65535 36 1 10 17 2051 2073 2859 2859 2154 33308 34560 30080 50557 6 -10 -37 0 0 0 152 18:42:33.867023
1367372553.87 65535 36 1 10 18 2050 2072 2859 2859 2155 33308 34560 30144 50558 6 -10 -37 0 0 0 152 18:42:33.867589
1367372553.87 65535 36 1 10 19 2051 2073 2858 2859 2155 33276 34316 29948 50558 6 -10 -37 0 0 0 152 18:42:33.868146
1367372553.87 65535 36 1 10 20 2050 2072 2859 2859 2155 33280 34332 29948 50557 6 -10 -37 0 0 0 152 18:42:33.868713
1367372553.87 65535 36 1 10 21 2050 2073 2859 2860 2155 33276 34428 29948 50551 6 -10 -37 0 0 0 152 18:42:33.869455
1367372553.87 65535 36 1 10 22 2051 2072 2859 2859 2155 33276 34364 29948 50552 6 -10 -37 0 0 0 152 18:42:33.870015
1367372553.87 65535 36 1 10 23 2051 2072 2859 2860 2155 33340 34428 30144 50551 6 -10 -37 0 0 0 152 18:42:33.870587
1367372553.87 65535 36 1 10 24 2050 2072 2860 2859 2155 33284 34428 30080 50552 6 -10 -37 0 0 0 152 18:42:33.871139
1367372553.87 65535 36 1 10 25 2050 2073 2860 2860 2155 33308 34364 29948 50553 6 -10 -37 0 0 0 152 18:42:33.871685
1367372553.87 65535 36 1 10 26 2050 2072 2860 2860 2155 33308 34560 30080 50553 5 -10 -37 0 0 0 152 18:42:33.872254
1367372553.87 65535 36 1 10 27 2050 2072 2860 2860 2155 33340 34428 30080 50552 5 -9 -37 0 0 0 152 18:42:33.872804
1367372553.87 65535 36 1 10 28 2049 2071 2859 2860 2155 33308 34560 29948 50552 6 -9 -37 0 0 0 152 18:42:33.873357
1367372553.87 65535 36 1 10 29 2050 2071 2859 2860 2155 33340 34560 29948 50553 6 -9 -36 0 0 0 152 18:42:33.873905
1367372553.87 65535 36 1 10 30 2050 2071 2859 2860 2155 33308 34560 30144 50554 6 -9 -37 0 0 0 152 18:42:33.874454
1367372553.87 65535 36 1 10 31 2049 2072 2860 2860 2155 33276 34364 30080 50555 5 -9 -37 0 0 0 152 18:42:33.875005
1367372553.88 65535 36 1 10 32 2049 2072 2859 2859 2155 33276 34332 30144 50555 5 -9 -37 0 0 0 152 18:42:33.875610
1367372553.88 65535 36 1 10 33 2049 2072 2859 2860 2155 33276 34304 29948 50556 6 -9 -37 0 0 0 152 18:42:33.876229
1367372553.88 65535 36 1 10 34 2050 2072 2860 2860 2155 33276 34364 30080 50557 5 -9 -37 0 0 0 152 18:42:33.876815
1367372553.88 65535 36 1 10 35 2050 2072 2861 2861 2156 33292 34560 30204 50557 5 -9 -37 0 0 0 152 18:42:33.877365
1367372553.88 65535 36 1 10 36 2049 2072 2860 2860 2155 33340 34560 30204 50557 5 -10 -37 0 0 0 152 18:42:33.877906
1367372553.88 65535 36 1 10 37 2050 2072 2860 2861 2156 33404 34428 30144 50557 5 -10 -37 0 0 0 152 18:42:33.878508
